"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"1400000US19001960100","Census Tract 9601, Adair County, Iowa","1321","92","1147","103","174","69",
"1400000US19001960200","Census Tract 9602, Adair County, Iowa","831","70","675","69","156","47",
"1400000US19001960300","Census Tract 9603, Adair County, Iowa","1557","98","1395","103","162","60",
"1400000US19003950100","Census Tract 9501, Adams County, Iowa","835","55","704","68","131","58",
"1400000US19003950200","Census Tract 9502, Adams County, Iowa","1176","56","923","74","253","72",
"1400000US19005960100","Census Tract 9601, Allamakee County, Iowa","1517","124","1013","137","504","93",
"1400000US19005960200","Census Tract 9602, Allamakee County, Iowa","1082","145","1025","149","57","55",
"1400000US19005960300","Census Tract 9603, Allamakee County, Iowa","1986","157","1784","139","202","105",
"1400000US19005960400","Census Tract 9604, Allamakee County, Iowa","1952","135","947","108","1005","120",
"1400000US19005960500","Census Tract 9605, Allamakee County, Iowa","1279","89","1178","100","101","58",
"1400000US19007950100","Census Tract 9501, Appanoose County, Iowa","1188","113","906","103","282","83",
"1400000US19007950200","Census Tract 9502, Appanoose County, Iowa","1014","89","720","75","294","83",
"1400000US19007950300","Census Tract 9503, Appanoose County, Iowa","1820","186","1426","200","394","148",
"1400000US19007950400","Census Tract 9504, Appanoose County, Iowa","1602","133","1354","137","248","107",
"1400000US19007950500","Census Tract 9505, Appanoose County, Iowa","1015","90","790","81","225","61",
"1400000US19009070100","Census Tract 701, Audubon County, Iowa","900","76","784","78","116","45",
"1400000US19009070200","Census Tract 702, Audubon County, Iowa","1257","102","1132","112","125","59",
"1400000US19009070300","Census Tract 703, Audubon County, Iowa","831","85","775","85","56","28",
"1400000US19011960100","Census Tract 9601, Benton County, Iowa","1117","100","1057","113","60","47",
"1400000US19011960200","Census Tract 9602, Benton County, Iowa","1316","81","1251","82","65","28",
"1400000US19011960300","Census Tract 9603, Benton County, Iowa","2523","186","2249","163","274","158",
"1400000US19011960400","Census Tract 9604, Benton County, Iowa","1446","118","1351","130","95","69",
"1400000US19011960500","Census Tract 9605, Benton County, Iowa","2302","121","2172","127","130","45",
"1400000US19011960600","Census Tract 9606, Benton County, Iowa","1182","83","1078","93","104","48",
"1400000US19011960700","Census Tract 9607, Benton County, Iowa","1301","105","1148","105","153","59",
"1400000US19013000100","Census Tract 1, Black Hawk County, Iowa","1072","142","864","144","208","73",
"1400000US19013000200","Census Tract 2, Black Hawk County, Iowa","1243","168","1057","186","186","116",
"1400000US19013000300","Census Tract 3, Black Hawk County, Iowa","1623","201","1251","190","372","111",
"1400000US19013000400","Census Tract 4, Black Hawk County, Iowa","779","97","762","99","17","19",
"1400000US19013000500","Census Tract 5, Black Hawk County, Iowa","688","103","625","113","63","41",
"1400000US19013000700","Census Tract 7, Black Hawk County, Iowa","660","128","552","138","108","64",
"1400000US19013000800","Census Tract 8, Black Hawk County, Iowa","1849","263","1496","217","353","151",
"1400000US19013000900","Census Tract 9, Black Hawk County, Iowa","1282","121","1214","129","68","65",
"1400000US19013001000","Census Tract 10, Black Hawk County, Iowa","1560","164","1463","178","97","63",
"1400000US19013001100","Census Tract 11, Black Hawk County, Iowa","1280","204","1207","208","73","67",
"1400000US19013001200","Census Tract 12, Black Hawk County, Iowa","1152","140","969","123","183","90",
"1400000US19013001301","Census Tract 13.01, Black Hawk County, Iowa","1898","129","1729","137","169","83",
"1400000US19013001302","Census Tract 13.02, Black Hawk County, Iowa","1734","178","1617","201","117","81",
"1400000US19013001400","Census Tract 14, Black Hawk County, Iowa","1979","185","1834","198","145","80",
"1400000US19013001501","Census Tract 15.01, Black Hawk County, Iowa","1702","212","1592","218","110","70",
"1400000US19013001502","Census Tract 15.02, Black Hawk County, Iowa","1971","199","1891","211","80","69",
"1400000US19013001503","Census Tract 15.03, Black Hawk County, Iowa","1578","124","1452","131","126","74",
"1400000US19013001600","Census Tract 16, Black Hawk County, Iowa","1213","137","1133","151","80","69",
