"GEO_ID","NAME","H3_001N","H3_002N","H3_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1500000US190019601001","Block Group 1; Census Tract 9601; Adair County; Iowa","632","540","92",
"1500000US190019601002","Block Group 2; Census Tract 9601; Adair County; Iowa","273","253","20",
"1500000US190019601003","Block Group 3; Census Tract 9601; Adair County; Iowa","398","363","35",
"1500000US190019602001","Block Group 1; Census Tract 9602; Adair County; Iowa","258","236","22",
"1500000US190019602002","Block Group 2; Census Tract 9602; Adair County; Iowa","543","468","75",
"1500000US190019603001","Block Group 1; Census Tract 9603; Adair County; Iowa","303","285","18",
"1500000US190019603002","Block Group 2; Census Tract 9603; Adair County; Iowa","339","315","24",
"1500000US190019603003","Block Group 3; Census Tract 9603; Adair County; Iowa","390","362","28",
"1500000US190019603004","Block Group 4; Census Tract 9603; Adair County; Iowa","449","395","54",
"1500000US190039501001","Block Group 1; Census Tract 9501; Adams County; Iowa","488","406","82",
"1500000US190039501002","Block Group 2; Census Tract 9501; Adams County; Iowa","300","269","31",
"1500000US190039502001","Block Group 1; Census Tract 9502; Adams County; Iowa","578","481","97",
"1500000US190039502002","Block Group 2; Census Tract 9502; Adams County; Iowa","522","458","64",
"1500000US190059601001","Block Group 1; Census Tract 9601; Allamakee County; Iowa","425","265","160",
"1500000US190059601002","Block Group 2; Census Tract 9601; Allamakee County; Iowa","986","663","323",
"1500000US190059602001","Block Group 1; Census Tract 9602; Allamakee County; Iowa","401","340","61",
"1500000US190059602002","Block Group 2; Census Tract 9602; Allamakee County; Iowa","769","644","125",
"1500000US190059603001","Block Group 1; Census Tract 9603; Allamakee County; Iowa","328","283","45",
"1500000US190059603002","Block Group 2; Census Tract 9603; Allamakee County; Iowa","742","687","55",
"1500000US190059603003","Block Group 3; Census Tract 9603; Allamakee County; Iowa","938","853","85",
"1500000US190059604001","Block Group 1; Census Tract 9604; Allamakee County; Iowa","535","460","75",
"1500000US190059604002","Block Group 2; Census Tract 9604; Allamakee County; Iowa","1261","443","818",
"1500000US190059605001","Block Group 1; Census Tract 9605; Allamakee County; Iowa","909","826","83",
